Year,GMSL
1993,0.4967141530112327
1994,3.161735698828815
1995,7.247688538100692
1996,11.423029856408023
1997,12.965846625276663
1998,16.26586304305082
1999,21.379212815507387
2000,23.867434729152908
2001,25.930525614065047
2002,30.242560043585964
2003,32.53658230718754
2004,35.83427024642974
2005,39.841962271566025
2006,40.9867197553422
2007,44.47508216748696
2008,48.937712470759024
2009,51.78716887966557
2010,56.41424733259527
2011,58.49197592447879
2012,61.287696298664706
2013,67.46564876892155
2014,69.07422369951347
2015,72.66752820468791
2016,74.47525181378653
2017,78.65561727547481
2018,82.61092258970987
2019,84.6490064225777
2020,89.47569801834567
2021,91.79936131008118
2022,95.4083062502067
2023,98.39829338777061
